Laureate ID,Full Name,Gender,Birthdate/Date Founded,Country,Continent,Age/Years of Operation,Year Awarded,Date Awarded,Award Category,Awarded For
1,Wilhelm Conrad Röntgen,Male,1845-03-27,Germany,Europe,56,1901,,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
2,Hendrik Antoon Lorentz,Male,1853-07-18,the Netherlands,Europe,49,1902,,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
3,Pieter Zeeman,Male,1865-05-25,the Netherlands,Europe,37,1902,,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
4,Antoine Henri Becquerel,Male,1852-12-15,France,Europe,51,1903,,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
5,Pierre Curie,Male,1859-05-15,France,Europe,44,1903,,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
6,"Marie Curie, née Sklodowska",Female,1867-11-07,Poland,Europe,36,1903,,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
6,"Marie Curie, née Sklodowska",Female,1867-11-07,Poland,Europe,44,1911,,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element"
8,Lord Rayleigh (John William Strutt),Male,1842-11-12,United Kingdom,Europe,62,1904,,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
9,Philipp Eduard Anton von Lenard,Male,1862-06-07,Slovakia,Europe,43,1905,,Physics,for his work on cathode rays
10,Joseph John Thomson,Male,1856-12-18,United Kingdom,Europe,50,1906,,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
11,Albert Abraham Michelson,Male,1852-12-19,Poland,Europe,55,1907,,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
12,Gabriel Lippmann,Male,1845-08-16,Luxembourg,Europe,63,1908,,Physics,for his method of reproducing colours photographically based on the phenomenon of interference
13,Guglielmo Marconi,Male,1874-04-25,Italy,Europe,35,1909,,Physics,in recognition of their contributions to the development of wireless telegraphy
14,Karl Ferdinand Braun,Male,1850-06-06,Germany,Europe,59,1909,,Physics,in recognition of their contributions to the development of wireless telegraphy
15,Johannes Diderik van der Waals,Male,1837-11-23,the Netherlands,Europe,73,1910,,Physics,for his work on the equation of state for gases and liquids
16,Wilhelm Wien,Male,1864-01-13,Russia,Europe,47,1911,,Physics,for his discoveries regarding the laws governing the radiation of heat
17,Nils Gustaf Dalén,Male,1869-11-30,Sweden,Europe,43,1912,,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
18,Heike Kamerlingh Onnes,Male,1853-09-21,the Netherlands,Europe,60,1913,,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
19,Max von Laue,Male,1879-10-09,Germany,Europe,36,1914,1915-11-11,Physics,for his discovery of the diffraction of X-rays by crystals
20,Sir William Henry Bragg,Male,1862-07-02,United Kingdom,Europe,53,1915,1915-11-12,Physics,for their services in the analysis of crystal structure by means of X-rays
21,William Lawrence Bragg,Male,1890-03-31,Australia,Oceania,25,1915,1915-11-12,Physics,for their services in the analysis of crystal structure by means of X-rays
22,Charles Glover Barkla,Male,1877-06-07,United Kingdom,Europe,41,1917,1918-11-12,Physics,for his discovery of the characteristic R&ouml;ntgen radiation of the elements
23,Max Karl Ernst Ludwig Planck,Male,1858-04-23,Germany,Europe,60,1918,,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta
24,Johannes Stark,Male,1874-04-15,Germany,Europe,45,1919,,Physics,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields
25,Charles Edouard Guillaume,Male,1861-02-15,Switzerland,Europe,59,1920,,Physics,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys
26,Albert Einstein,Male,1879-03-14,Germany,Europe,42,1921,,Physics,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"
27,Niels Henrik David Bohr,Male,1885-10-07,Denmark,Europe,37,1922,,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them
28,Robert Andrews Millikan,Male,1868-03-22,USA,North America,55,1923,,Physics,for his work on the elementary charge of electricity and on the photoelectric effect
